category,palmitico,palmitoleico,stearico,oleico,linoleico,eicosanoico,linolenico
SA ,14.1,2.32,2.8,67.150002,12.33,0.32,0.6
SA ,15.09,2.09,2.57,66.470001,12.4,0.42,0.62
SA ,13.17,1.97,2.56,70.360001,10.67,0.4,0.6
SA ,12.86,1.92,2.03,71.32,10.53,0.38,0.65
SA ,12.73,1.91,2.02,68.620003,13.03,0.43,0.7
SA ,14.63,1.83,1.83,67.470001,13.07,0.36,0.6
SA ,13.99,1.87,1.91,68.610001,12.33,0.38,0.6
SA ,14.13,1.93,2.08,68.75,12.02,0.3,0.6
SA ,13.69,2.06,2.03,69.529999,11.68,0.35,0.5
SA ,14.88,1.72,1.7,69.199997,11.44,0.37,0.54
SA ,13.23,1.6,2.05,69.110001,12.98,0.24,0.5
SA ,13.11,1.66,1.7,69.019997,13.12,0.41,0.69
SA ,12.86,1.63,1.83,70.400002,12.3,0.29,0.57
SA ,13.8,1.73,1.88,70.379997,11.39,0.31,0.44
SA ,13.94,1.64,2.23,70.860001,10.42,0.24,0.43
SA ,13.24,1.74,1.98,68.629997,12.89,0.36,0.7
SA ,12.9,1.57,1.92,70,12.63,0.26,0.51
SA ,13.61,1.63,1.96,68.879997,12.73,0.37,0.58
SA ,13.87,1.82,2.42,69.129997,11.01,0.44,0.68
SA ,13.69,1.8,1.81,70,11.3,0.39,0.45
SA ,13.03,1.65,1.75,70.25,12.43,0.31,0.41
SA ,13.46,1.6,1.69,70.720001,11.51,0.39,0.48
SA ,13.69,1.71,1.84,69.370003,12.46,0.3,0.48
SA ,13.05,1.72,1.69,70.040001,12.6,0.28,0.5
SA ,13.51,1.79,1.86,69.349998,12.43,0.36,0.5
SA ,12.83,1.51,1.82,70,12.71,0.4,0.52
SA ,14.49,1.75,1.98,68.830002,11.62,0.4,0.7
SA ,13.1,1.8,1.83,70.540001,12.02,0.26,0.32
SA ,13.6,1.63,1.76,69.010002,12.8,0.28,0.65
SA ,13,1.87,1.96,69.199997,12.53,0.41,0.76
SA ,13.68,1.71,2.18,70.099998,10.57,0.41,0.54
SA ,12.07,1.51,1.56,71.589996,12.34,0.27,0.51
SA ,13.48,1.54,1.83,69.169998,12.77,0.48,0.56
SA ,13.34,1.86,2.29,72.610001,8.270001,0.34,0.56
SA ,13.01,1.56,2.07,70.029999,12.29,0.41,0.48
SA ,12.26,1.81,2.13,69.610001,12.3,0.47,0.74
SA ,12.01,1.68,1.9,71,12.16,0.43,0.64
SA ,12.97,1.53,1.77,70.040001,12.6,0.35,0.6
SA ,12.48,1.63,1.58,71.029999,12.22,0.31,0.6
SA ,13.35,1.59,1.97,69.739998,12.2,0.36,0.6
SA ,12.19,1.67,1.71,70.870003,12.54,0.35,0.5
SA ,13.18,1.79,1.77,70.300003,11.94,0.35,0.42
SA ,12.64,1.67,1.66,71.300003,11.87,0.22,0.52
SA ,12.01,1.75,2.01,71.290001,11.93,0.36,0.49
SA ,12.52,1.8,1.81,70.550003,12.14,0.31,0.59
SA ,12.73,1.82,2.09,69.650002,11.91,0.43,0.74
SA ,13.51,1.79,1.7,70.339996,11.54,0.35,0.66
SA ,13.36,1.55,2.12,71.029999,10.86,0.33,0.55
SA ,14.99,2.01,1.82,68.029999,12.04,0.3,0.56
SA ,14.25,1.98,1.93,70.32,10.41,0.31,0.52
SA ,13.58,2.04,2.27,69.620003,11.09,0.41,0.65
SA ,13.46,1.81,2.57,71.470001,9.33,0.4,0.6
SA ,13.92,1.86,2.56,67.32,12.78,0.53,0.64
SA ,13.11,1.66,2.22,70.059998,11.47,0.41,0.8
SA ,13.14,1.71,2.29,69.230011,11.98,0.47,0.76
SA ,14.09,2,2.07,68.419998,12.24,0.31,0.6
SA ,13.42,1.74,2.21,69.93,11.47,0.36,0.64
SA ,13.87,1.82,2.06,71,10.2,0.34,0.54
SA ,14.13,2.02,2.05,69.199997,11.65,0.36,0.46
SA ,14.3,2.09,2.25,68,12,0.32,0.59
SA ,13.36,1.85,2.23,69.559998,11.55,0.56,0.73
SA ,13.72,2,2,69.160011,11.89,0.33,0.5
SA ,13.3,1.57,2.28,70.550003,11.08,0.42,0.55
SA ,14.12,2.07,2.08,68.220001,12.39,0.36,0.51
SA ,13.21,2.09,2.17,69.480011,11.78,0.42,0.62
SA ,14.01,2,2.17,69.800003,10.73,0.4,0.68
SA ,14.01,2.14,2.17,67.339996,12.93,0.44,0.69
SA ,14.57,1.68,2.42,67.239998,12.66,0.54,0.59
SA ,14.51,1.99,2.21,68.349998,11.77,0.37,0.51
SA ,14.38,2.06,2.48,68.059998,11.83,0.34,0.57
SA ,14.62,2.04,2.37,66.440002,13.09,0.42,0.54
SA ,15.29,2.15,2.03,66.019997,13.1,0.45,0.69
SA ,15.1,1.89,2.45,67.519997,11.88,0.36,0.52
SA ,14.37,2.22,1.84,68.029999,12.4,0.43,0.56
SA ,13.27,1.29,2.47,70.239998,11.57,0.38,0.56
SA ,14.38,1.72,2.52,66.300003,13.8,0.4,0.64
SA ,14.47,1.76,1.89,68.489998,11.8,0.42,0.64
SA ,13.55,1.44,2.14,69.720001,11.98,0.33,0.6
SA ,13.69,1.56,2.41,68.900002,12.09,0.42,0.63
SA ,14.71,1.88,2.76,66.970001,12.69,0.34,0.51
SA ,14.56,1.79,2.4,67.379997,12.67,0.41,0.65
SA ,13.14,1.4,2.07,70.199997,12.2,0.28,0.59
SA ,14.08,1.76,1.92,69.089996,11.95,0.45,0.5
SA ,13.97,1.72,1.91,71.07,10.18,0.36,0.5
SA ,14.13,1.91,1.86,69.370003,11.8,0.31,0.46
SA ,15.39,1.94,2.13,67.639999,11.78,0.38,0.58
SA ,13.04,1.59,2.34,70.190002,11.74,0.38,0.53
SA ,13.41,1.6,2.31,70.330002,10.69,0.4,0.67
SA ,15.08,2.08,2.49,66.410011,13.11,0.25,0.43
SA ,15.15,2.26,2.57,65.949997,12.87,0.41,0.63
SA ,12.62,1.65,2.35,71.199997,11.13,0.32,0.51
SA ,13.07,1.97,2.38,70.029999,11.44,0.37,0.5
SA ,12.94,1.59,2.53,70.089996,11.9,0.3,0.52
SA ,14.6,1.87,2.15,68.43,11.72,0.35,0.56
SA ,14.76,1.87,2.03,68.370003,11.97,0.36,0.48
SA ,14.82,1.78,1.97,68.139999,12.01,0.4,0.64
SA ,13.88,1.76,1.85,70.080002,11.11,0.48,0.53
SA ,13.67,1.72,2.35,70.660011,10.54,0.35,0.45
SA ,12.72,2.07,2.05,71.519997,10.98,0.37,0.52
SA ,13.23,1.57,2.34,71.32,10.22,0.38,0.58
SA ,12.06,2.18,2.42,71.93,10.02,0.37,0.54
SA ,13.83,1.57,2.17,70.18,10.9,0.4,0.6
SA ,15.21,1.9,2.38,69.559998,9.859999,0.36,0.5
SA ,13.5,1.68,2.27,69.860001,11.65,0.29,0.58
SA ,14.22,1.81,2.18,68.129997,12.3,0.3,0.59
SA ,12.98,1.66,2.24,69.860001,11.62,0.34,0.65
SA ,14.47,2.36,2.45,66.07,13.36,0.33,0.51
SA ,13.47,1.97,2.11,67.949997,13,0.32,0.59
SA ,13.39,1.7,2.53,69.889999,11.1,0.29,0.63
SA ,13.88,1.83,2.16,68.669998,12.08,0.28,0.61
SA ,15.27,2.6,2.32,64.879997,13.7,0.31,0.45
SA ,14.95,2.37,2.36,65.709999,13.18,0.32,0.58
SA ,14.87,2.46,2.51,65.040001,13.9,0.29,0.53
SA ,13.99,1.8,2.32,68.550003,11.9,0.32,0.66
SA ,14.89,2.15,2.42,67.769997,11.45,0.3,0.6
SA ,13.39,1.66,2.26,69.279999,11.98,0.3,0.6
SA ,14.82,2.46,2.38,64.440002,14.62,0.27,0.5
SA ,14.34,1.72,2.55,66.459999,13.54,0.27,0.59
SA ,13.47,1.56,2.14,68.5,13.13,0.25,0.48
SA ,13.4,1.58,2.33,68.480011,12.72,0.32,0.63
SA ,14.53,1.8,2.44,67.519997,12.38,0.34,0.54
SA ,13.06,1.49,2.26,70.82,10.97,0.33,0.61
SA ,13.49,1.61,2.17,69.970001,11.38,0.31,0.62
SA ,12.54,1.51,2.05,73.190002,9.47,0.28,0.54
SA ,11.68,1.44,2.2,72.300003,11.09,0.31,0.52
SA ,13.46,1.67,2.24,69.589996,11.11,0.3,0.49
SA ,13.9,1.84,2.12,68.980011,11.89,0.29,0.44
SA ,12.83,1.49,2.24,70.769997,11.04,0.3,0.57
SA ,12.14,1.37,2.32,72.690002,10.05,0.32,0.55
SA ,14.91,2.27,2.05,69.410011,9.88,0.33,0.68
SA ,14.79,2.18,2.07,70.389999,8.87,0.36,0.65
SA ,14.45,1.74,2.28,68.75,11.23,0.29,0.69
SA ,14.39,1.83,2.18,67.75,12.26,0.32,0.66
SA ,13.87,1.54,2.04,69.910011,10.9,0.34,0.74
SA ,14.26,1.69,1.92,70.25,10.43,0.31,0.64
SA ,14.51,2,2.08,69.800003,10.06,0.3,0.62
SA ,14.93,2.04,1.88,69.129997,10.44,0.32,0.61
SA ,14.19,1.92,2.07,69.959999,10.14,0.36,0.7
SA ,13.42,1.77,1.99,71.720001,9.520001,0.34,0.65
SA ,13.49,1.52,2.36,71.449997,9.49,0.35,0.75
SA ,14.4,1.96,2.08,69.379997,10.7,0.32,0.61
SA ,14.6,2.15,1.97,69.18,10.81,0.28,0.55
SA ,12.49,1.33,2.05,74.169998,8.270001,0.33,0.72
SA ,13.48,1.59,2.38,70.169998,10.81,0.31,0.67
SA ,13.41,1.55,2.44,69.580002,11.44,0.32,0.68
SA ,13.98,1.49,2.04,71.82,9.07,0.29,0.76
SA ,14.54,2,1.99,69.099998,10.9,0.3,0.62
SA ,13.34,1.53,2.19,69.279999,12.14,0.33,0.66
SA ,14.38,2.04,1.89,71.07,9.100001,0.33,0.63
SA ,13.03,1.38,2.12,71.699997,10.16,0.34,0.69
SA ,13.23,1.47,2.1,71.080002,10.7,0.33,0.61
SA ,14.17,1.69,2.07,68.75,11.84,0.34,0.57
SA ,13.6,1.67,2.25,68.830002,12.2,0.31,0.55
SA ,14.2,1.79,2.14,69.230011,11.21,0.33,0.56
SA ,14.72,2.18,2.14,67.239998,12.38,0.29,0.53
SA ,13.68,1.74,2.05,70.419998,10.66,0.31,0.57
SA ,13.67,1.73,2.28,69.480011,11.41,0.32,0.53
SA ,14.03,1.73,2.09,68.43,12.1,0.33,0.63
SA ,14.13,1.97,2.06,67.370003,13.87,0.34,0.6
SA ,12.01,1.38,2.07,70.110001,12.69,0.37,0.64
SA ,13.59,1.8,2.07,68.949997,12.03,0.33,0.61
SA ,15.18,1.98,2.25,66.809998,12.43,0.29,0.57
SA ,14.34,1.85,1.89,67.709999,12.69,0.3,0.62
SA ,13.67,1.62,1.79,67.720001,13.68,0.33,0.64
SA ,14.61,1.81,1.97,67.830002,12.46,0.26,0.57
SA ,13.68,1.61,1.98,70.300003,10.95,0.33,0.59
SA ,14.19,1.59,2.15,68.620003,11.93,0.35,0.6
SA ,15.14,1.62,2.98,67.25,11.19,0.45,0.93
SA ,13.28,1.71,2.53,69.870003,10.3,0.38,0.83
SA ,14.69,1.6,3.37,66.75,11.27,0.44,0.94
SA ,12.83,1.53,1.96,71.07,11.15,0.37,0.6
SA ,12.63,1.55,1.99,71.400002,11.48,0.31,0.42
SA ,13.69,1.58,2.15,71.599998,9.58,0.38,0.69
SA ,13.53,1.72,1.75,69.650002,12.12,0.28,0.75
SA ,11.87,1.39,1.85,74.269997,9.520001,0.29,0.56
SA ,17.32,2.31,1.56,64.370003,13.13,0.45,0.62
SA ,16.200001,2.55,1.66,66.279999,12.12,0.29,0.62
SA ,15.43,1.72,1.93,67.400002,11.57,0.52,0.87
SA ,14.98,1.7,1.95,68.040001,12.06,0.35,0.66
SA ,13.99,1.69,1.71,70.110001,11,0.36,0.72
SA ,12.93,1.56,1.91,71.010002,11.11,0.32,0.6
SA ,14.2,1.75,1.52,70.040001,11.49,0.27,0.5
SA ,17.209999,2.38,2.55,63,13.5,0.35,0.7
SA ,17.42,2.21,1.56,64.150002,13.15,0.43,0.82
SA ,13.91,1.87,1.89,69.75,10.62,0.52,0.7
SA ,15.17,2.06,2.49,66.800003,12.05,0.33,0.8
SA ,12.69,1.57,1.93,71.400002,11.48,0.31,0.4
SA ,15.77,2.04,2.08,67.32,11.83,0.2,0.52
SA ,15.9,2.41,1.95,67.050003,11.49,0.27,0.68
SA ,16.209999,2.8,1.97,66.080002,11.79,0.28,0.58
SA ,17.530001,2.75,2.36,63.669998,12.14,0.23,0.61
SA ,16.790001,2.6,1.77,65.68,11.91,0.3,0.59
SA ,14.19,2.03,1.76,69.730011,10.83,0.38,0.78
SA ,16.93,2.36,1.74,64.989998,12.04,0.51,1.02
SA ,16.92,2.7,2.34,64.989998,11.96,0.31,0.59
SA ,16.379999,2.52,2.15,65.699997,11.99,0.39,0.53
SA ,14.97,2.47,2.19,66.209999,12.7,0.36,0.73
SA ,14.42,2.22,1.94,66.769997,13.14,0.36,0.72
SA ,16.799999,2.7,1.7,64.400002,13.1,0.31,0.62
SA ,14.63,1.64,1.85,69.089996,11.54,0.49,0.58
U  ,10.85,0.7,1.8,79.550003,6.05,0.2,0.5
U  ,10.85,0.7,1.85,79.550003,6,0.25,0.55
U  ,10.9,0.6,1.9,79.5,6,0.28,0.47
U  ,10.8,0.65,1.89,79.599998,6.02,0.35,0.2
U  ,10.9,0.6,1.95,79.550003,6,0.28,0.42
U  ,11.05,0.55,2,79,6,0.37,0.55
U  ,10.6,0.75,1.75,79.75,6.1,0.2,0.55
U  ,10.5,0.7,1.7,79.769997,6.05,0.28,0.65
U  ,11,0.55,1.98,79.050003,6,0.35,0.5
U  ,10.65,0.65,1.78,79.650002,6.05,0.22,0.65
U  ,10.85,0.6,1.88,79.550003,6.02,0.3,0.5
U  ,10.8,0.65,1.8,79.599998,6.05,0.25,0.55
U  ,10.85,0.6,1.9,79.550003,6.02,0.3,0.53
U  ,10.75,0.68,1.95,79.599998,6.02,0.2,0.4
U  ,10.9,0.58,1.92,79.5,6,0.35,0.4
U  ,10.95,0.6,1.98,79.449997,6,0.38,0.34
U  ,10.9,0.58,1.95,79.5,6,0.3,0.42
U  ,10.95,0.58,1.98,79.5,6.02,0.35,0.32
U  ,10.9,0.58,1.95,79.400002,6,0.35,0.42
U  ,10.95,0.58,1.98,79.449997,6,0.35,0.34
U  ,10.95,0.55,2,79.400002,6,0.35,0.45
U  ,10.8,0.7,1.88,79.650002,6.08,0.28,0.36
U  ,10.9,0.6,1.95,79.5,6,0.32,0.38
U  ,11.05,0.55,2,79,5.95,0.39,0.56
U  ,11.1,0.5,2.05,79,5.95,0.4,0.52
U  ,10.75,0.7,1.98,79.779999,6.08,0.28,0.33
U  ,10.75,0.65,1.85,79.800003,6.08,0.35,0.42
U  ,10.65,0.75,1.8,79.75,6.1,0.25,0.5
U  ,10.7,0.75,1.88,79.800003,6.02,0.22,0.45
U  ,10.7,0.75,1.88,79.800003,6.02,0.22,0.45
U  ,11,0.7,2,79.099998,6.1,0.39,0.44
U  ,10.75,0.7,1.85,79.599998,6.1,0.22,0.58
U  ,10.5,0.78,1.75,79.900002,6.1,0.18,0.59
U  ,10.9,0.6,1.98,79.449997,6,0.32,0.35
U  ,10.5,0.78,1.88,79.900002,6.08,0.28,0.23
U  ,10.75,0.7,1.9,79.75,6.05,0.28,0.27
U  ,10.98,0.54,2.02,79.449997,5.95,0.42,0.32
U  ,11.05,0.15,1.98,80.050003,5.75,0.52,0.2
U  ,11.1,0.75,2.2,79.150002,5.1,0.55,0.65
U  ,10.58,0.5,1.78,79.879997,6.26,0.4,0.55
U  ,11.15,0.3,2.25,79.550003,6,0.55,0.15
U  ,11.05,0.3,1.98,79.949997,5.7,0.52,0.2
U  ,10.72,0.49,1.78,79.800003,6.15,0.48,0.48
U  ,11.1,0.15,2.1,79.900002,5.7,0.5,0.2
U  ,11.1,0.8,2.15,79.099998,5.25,0.5,0.6
U  ,10.55,0.6,1.75,79.849998,6.2,0.45,0.5
U  ,11,0.8,2.15,79.300003,5.35,0.45,0.6
U  ,11.05,0.55,2.05,79.650002,6,0.25,0.2
U  ,10.95,0.5,2.1,79.480011,6,0.25,0.35
U  ,11.1,0.5,2.2,79.5,6,0.52,0.1
U  ,10.92,0.37,2.1,79.550003,6,0.4,0.4
EL ,12.9,0.6,2.6,75.5,6.7,0.7,1
EL ,11.7,0.8,2.3,76.900002,7.2,0.4,0.7
EL ,11,0.9,2.5,76.800003,7.6,0.3,0.8
EL ,11.2,0.7,2.4,77.199997,7.3,0.4,0.8
EL ,11.6,0.7,2.5,76.5,7.5,0.3,0.9
EL ,12,0.5,2.1,77.699997,6.9,0.2,0.5
EL ,11.4,0.5,2,79.900002,5.8,0.1,0.2
EL ,12.2,0.8,2.4,76.099998,7.6,0.3,0.6
EL ,11.8,0.9,2.5,75.199997,8,0.5,1
EL ,12.1,0.7,2.5,75.599998,7.8,0.4,0.9
EL ,12.2,0.8,2.2,75.400002,7.7,0.6,1
EL ,11.8,1,1.9,75.199997,8.2,0.5,1
EL ,11.6,0.9,2.2,75.800003,7.9,0.4,0.9
EL ,11.3,1,2.4,76.199997,7.8,0.3,0.9
EL ,10.8,1,2.6,77.099998,7.5,0.2,0.7
EL ,10.9,0.9,2.8,77.300003,7.2,0.5,1
EL ,10.2,1,2.7,77.699997,7.1,0.4,0.9
EL ,10.9,0.9,2.5,76.800003,7.6,0.6,0.8
EL ,11.2,1,2.6,77.199997,6.8,0.3,0.8
EL ,10.8,0.8,2.4,78.300003,6.7,0.3,0.7
EL ,11.6,0.7,2.3,78.599998,6.4,0.1,0.2
EL ,11,0.8,2.4,78.199997,6.7,0.2,0.7
EL ,10.5,1,2.5,79.300003,6.3,0.1,0.3
EL ,10.9,0.9,2.7,77.800003,6.9,0.3,0.5
EL ,11.2,0.8,2.6,77.5,6.8,0.3,0.8
EL ,11.2,1,2.5,76.800003,7.3,0.4,0.7
EL ,11.9,0.9,2.3,76.699997,7.1,0.3,0.8
EL ,11.7,1.1,2.5,76.199997,7.4,0.2,0.9
EL ,11.2,1,2.3,77.199997,7.3,0.2,0.7
EL ,11.9,0.8,2.7,76.900002,7.2,0.1,0.4
EL ,14,0.9,2.7,74.199997,8,0,0.2
EL ,13.5,0.8,2.5,75.199997,7.6,0.1,0.3
EL ,10.9,0.6,2.2,78.900002,6.7,0.1,0.6
EL ,11.5,0.9,2.3,77.900002,6.5,0.3,0.6
EL ,12.4,0.9,2.2,78.199997,5.9,0.1,0.3
EL ,12.2,1,2.4,78.900002,5.3,0,0.1
EL ,11.8,0.8,2.5,78.699997,5.8,0.1,0.3
EL ,11.7,1.1,2.4,77.300003,6.3,0.3,0.9
EL ,11.7,1,2.8,77.099998,6.4,0.2,0.7
EL ,11.8,0.8,2.2,77.900002,6.8,0.1,0.4
EL ,12,0.9,2.4,78.199997,5.9,0.1,0.5
EL ,11.4,0.9,2.4,78.800003,5.7,0.2,0.6
EL ,11.6,0.7,2.1,78.699997,5.8,0.3,0.8
EL ,11.3,0.8,2.5,77.800003,6.5,0.4,0.6
EL ,11.5,0.8,2.4,78,6.3,0.3,0.7
EL ,11.1,0.7,2.4,78.199997,6.7,0.2,0.7
EL ,11.5,0.7,2.2,78.5,6.2,0.2,0.4
EL ,11.8,0.8,2.4,77.599998,6.7,0.2,0.5
EL ,10.2,0.8,2.5,79.199997,6.8,0.1,0.3
EL ,6.1,0.8,2.3,84.099998,6.5,0,0.2
WL ,11.9,1.5,2.9,73.400002,10.2,0,0.1
WL ,11.1,1.3,2.1,75.5,10,0,0
WL ,10.2,1,2.2,75.300003,10.3,0,0
WL ,10.7,1.2,2.1,76,9.899999,0,0.1
WL ,10.1,0.9,3.5,74.800003,10.5,0.1,0.1
WL ,10.6,1.4,2.4,76.800003,8.3,0.1,0.4
WL ,10.6,1.4,2.7,76.199997,8.8,0.1,0.2
WL ,10.3,1,2.3,77.400002,9,0,0
WL ,11.2,1.3,2.5,75.300003,9.7,0,0
WL ,10.3,1.1,2.2,77.599998,9.8,0,0
WL ,10.7,1,2.3,76,9.899999,0.1,0
WL ,11.4,1.8,2.2,76.099998,8.5,0.1,0.1
WL ,10.9,1.8,2.3,75.900002,8.600001,0.1,0.4
WL ,9.8,1.1,3,77.199997,9.100001,0.1,0
WL ,9.8,0.9,3.3,75.400002,10.4,0,0
WL ,9.600001,0.9,2,78.099998,9.399999,0,0
WL ,9.899999,0.9,2.1,77.800003,9.3,0,0
WL ,10.6,1.2,2.1,76,10.1,0,0
WL ,12.4,1.5,2.5,76.099998,7.3,0.1,0.1
WL ,10.6,0.9,3.1,78.5,6.9,0,0
WL ,10.2,1,2.9,76.199997,9.600001,0,0.1
WL ,9.7,0.9,2.2,77,10.2,0,0
WL ,11.8,1.3,2.2,74.5,10.1,0,0.1
WL ,10.6,1.4,2.4,76.900002,8.5,0.1,0.1
WL ,9.899999,1,2.5,76.300003,10.3,0,0
WL ,10.1,0.9,3.5,76.300003,9.399999,0.1,0
WL ,10.4,0.9,2.5,77.800003,8.2,0.1,0.1
WL ,10.4,0.9,2.5,78.099998,8.100001,0.1,0.1
WL ,10.2,0.9,3.5,76.199997,9.2,0.1,0
WL ,10.2,0.9,2.6,76.199997,10.1,0,0
WL ,10.1,0.9,3.5,76.099998,9.3,0.1,0
WL ,9.2,1.1,3.4,77.199997,9.100001,0,0
WL ,10.3,1,2.5,77.099998,9,0,0.1
WL ,9.600001,0.9,3,78.199997,8.3,0,0
WL ,10.3,1.1,2.1,78.099998,8.399999,0,0
WL ,10.1,1,2.4,77.099998,9.100001,0.1,0.2
WL ,10.2,0.9,2.4,78,8.5,0,0
WL ,11.2,0.9,3,76.5,8.3,0,0.1
WL ,10.9,0.9,2.9,77.099998,8,0.1,0
WL ,11,1.2,2.8,76.300003,7.7,0.1,0.1
WL ,10.9,0.8,2.4,78.199997,7.6,0.1,0
WL ,11.5,0.9,2.5,77.199997,8.100001,0,0.1
WL ,11.1,0.9,2.3,78.099998,7.5,0,0.1
WL ,10.1,1.1,2.1,77.199997,9.5,0,0
WL ,10.7,1,2.2,77.300003,8.7,0.1,0.1
WL ,12.8,1.1,2.9,74.900002,7.9,0.1,0.1
WL ,10.6,1,2.7,77.400002,8.100001,0.1,0.1
WL ,10.1,0.9,2.1,77.199997,9.7,0,0
WL ,9.899999,1.2,2.5,77.5,8.7,0.1,0.1
WL ,9.600001,0.8,2.4,79.5,7.4,0.1,0.2
